,pressure,mean,std,variance
375,327.19617593844066,,,
376,326.673425656488,,,
377,326.15067537453535,,,
378,325.62792509258276,,,
379,325.10517481063016,,,
380,324.5824245286775,,,
381,324.05967424672485,,,
382,323.5369239647722,,,
383,323.0141736828196,,,
384,322.491423400867,,,
385,321.96867311891435,,,
386,321.4459228369617,,,
387,320.9231725550091,,,
388,320.40042227305645,,,
389,319.87767199110385,,,
390,319.3549217091512,,,
391,318.83217142719855,,,
392,318.30942114524595,,,
393,317.78667086329335,,,
394,317.2639205813407,,,
395,316.74117029938805,,,
396,316.2184200174354,,,
397,315.6956697354828,,,
398,315.1729194535302,,,
399,314.65016917157755,,,
400,314.1274188896249,,,
401,313.60466860767224,,,
402,313.08191832571964,,,
403,312.55916804376704,,,
404,312.0364177618144,,,
405,311.51366747986174,,,
406,310.99091719790914,,,
407,310.46816691595654,,,
408,309.9454166340039,,,
409,309.42266635205124,,,
410,308.8999160700986,,,
411,308.377165788146,,,
412,307.8544155061934,,,
413,307.33166522424074,,,
414,306.8089149422881,,,
415,306.28616466033543,,,
416,305.76341437838283,,,
417,305.24066409643024,,,
418,304.7179138144776,,,
419,304.19516353252493,,,
420,303.67241325057233,,,
421,303.14966296861974,,,
422,302.6269126866671,,,
423,302.10416240471443,,,
424,301.5814121227618,,,
425,301.0586618408092,,,
426,300.5359115588566,,,
427,300.01316127690393,,,
428,299.4904109949513,,,
429,298.9676607129986,,,
430,298.444910431046,,,
431,297.92216014909343,,,
432,297.3994098671408,,,
433,296.8766595851881,,,
434,296.3539093032355,,,
435,295.8311590212829,,,
436,295.3084087393303,,,
437,294.7856584573776,,,
438,294.26290817542497,,,
439,293.7401578934724,,,
